RANK,"MALE NAME","NUMBER OF MALES"
757,Terry,309
758,Azariah,307
759,Castiel,307
760,Kye,307
761,Augustine,305
762,Zechariah,305
763,Joziah,304
764,Kamryn,304
765,Hassan,303
766,Jamal,302
767,Chaim,301
768,Bodie,300
769,Emery,300
770,Branson,299
771,Jaxtyn,299
772,Kole,299
773,Wayne,299
774,Aryan,298
775,Alonso,297
776,Brixton,296
777,Madden,295
778,Allan,294
779,Flynn,294
780,Jaxen,292
781,Harley,291
782,Magnus,291
783,Sutton,291
784,Dash,289
785,Anders,288
786,Westley,288
787,Brett,286
788,Emory,286
789,Felipe,286
790,Yousef,285
791,Jadiel,284
792,Mordechai,284
793,Dominik,283
794,Junior,283
795,Eliseo,282
796,Fisher,282
797,Harold,281
798,Jaxxon,281
799,Kamdyn,281
800,Maximo,281
801,Caspian,280
802,Kelvin,280
803,Damari,279
804,Fox,279
805,Trent,279
806,Hugh,278
807,Briar,277
808,Franco,277
809,Keanu,277
810,Terrance,277
811,Yahir,277
812,Ameer,276
813,Kaiser,274
814,Thatcher,274
815,Ishaan,273
816,Koa,273
817,Merrick,273
818,Coen,272
819,Rodney,272
820,Brayan,271
821,London,271
822,Rudy,270
823,Gordon,269
824,Bobby,268
825,Aron,267
826,Marc,267
827,Van,266
828,Anakin,265
829,Canaan,265
830,Dario,265
831,Reginald,265
832,Westin,265
833,Darian,264
834,Ledger,264
835,Leighton,264
836,Maxton,264
837,Tadeo,264
838,Valentin,264
839,Aldo,263
840,Khalid,263
841,Nickolas,263
842,Toby,263
843,Dayton,261
844,Jacoby,261
845,Billy,260
846,Gatlin,260
847,Elisha,259
848,Jabari,259
849,Jermaine,259
850,Alvaro,257
851,Marlon,257
852,Mayson,257
853,Blaze,256
854,Jeffery,256
855,Kace,256
856,Braydon,255
857,Achilles,254
858,Brysen,254
859,Saint,254
860,Xzavier,253
861,Aydin,252
862,Eugene,252
863,Adrien,251
864,Cain,251
865,Kylo,251
866,Nova,251
867,Onyx,251
868,Arian,250
869,Bjorn,250
870,Jerome,250
871,Miller,250
872,Alfred,249
873,Kenzo,249
874,Kyng,248
875,Leroy,248
876,Maison,248
877,Jordy,247
878,Stefan,247
879,Wallace,246
880,Benicio,245
881,Kendall,245
882,Zayd,245
883,Blaine,244
884,Tristian,244
885,Anson,243
886,Gannon,243
887,Jeremias,243
888,Marley,243
889,Ronnie,243
890,Dangelo,242
891,Kody,242
892,Will,242
893,Bentlee,241
894,Gerald,241
895,Salvatore,241
896,Turner,241
897,Chad,240
898,Misael,240
899,Mustafa,240
900,Konnor,239
901,Maxim,239
902,Rogelio,239
903,Zakai,239
904,Cory,238
905,Judson,238
906,Brentley,237
907,Darwin,236
908,Louie,236
909,Ulises,236
910,Dakari,235
911,Rocky,234
912,Wesson,234
913,Alfonso,233
914,Payton,233
915,Dwayne,232
916,Juelz,232
917,Duncan,231
918,Keagan,231
919,Deshawn,230
920,Bode,229
921,Bridger,229
922,Skylar,229
923,Brodie,228
924,Landry,228
925,Avi,227
926,Keenan,227
927,Reuben,227
928,Jaxx,226
929,Rene,226
930,Yehuda,226
931,Imran,225
932,Yael,225
933,Alexzander,224
934,Willie,224
935,Cristiano,223
936,Heath,223
937,Lyric,223
938,Davion,222
939,Elon,222
940,Karsyn,222
941,Krew,222
942,Jairo,221
943,Maddux,221
944,Ephraim,220
945,Ignacio,220
946,Vivaan,220
947,Aries,219
948,Vance,219
949,Boden,217
950,Lyle,217
951,Ralph,217
952,Reign,217
953,Camilo,216
954,Draven,216
955,Terrence,216
956,Idris,215
957,Ira,215
958,Javion,215
959,Jericho,215
960,Khari,215
961,Marcellus,215
962,Creed,214
963,Shepard,214
964,Terrell,214
965,Ahmir,213
966,Camdyn,213
967,Cedric,213
968,Howard,213
969,Jad,213
970,Zahir,213
971,Harper,212
972,Justus,212
973,Forest,211
974,Gibson,211
975,Zev,211
976,Alaric,210
977,Decker,210
978,Ernest,210
979,Jesiah,210
980,Torin,210
981,Benedict,209
982,Bowie,209
983,Deangelo,209
984,Genesis,209
985,Harlem,209
986,Kalel,209
987,Kylen,209
988,Bishop,208
989,Immanuel,208
990,Lian,208
991,Zavier,208
992,Archie,207
993,Davian,207
994,Gus,207
995,Kabir,207
996,Korbyn,207
997,Randall,207
998,Benton,206
999,Coleman,206
1000,Markus,206
