RANK,"FEMALE NAME","NUMBER OF FEMALES"
665,Stevie,442
666,Haylee,441
667,Zelda,440
668,Lillie,439
669,Aileen,436
670,Brylee,436
671,Eileen,436
672,Yara,434
673,Ensley,432
674,Lauryn,432
675,Giuliana,430
676,Livia,430
677,Anya,429
678,Mikaela,429
679,Palmer,429
680,Lyra,428
681,Mara,428
682,Marina,427
683,Kailey,426
684,Liv,426
685,Clementine,425
686,Kenna,422
687,Briar,420
688,Emerie,419
689,Galilea,419
690,Tiffany,418
691,Bonnie,417
692,Elyse,417
693,Cynthia,416
694,Frida,416
695,Kinslee,416
696,Tatiana,414
697,Joelle,413
698,Armani,412
699,Jolie,412
700,Nalani,412
701,Rayna,412
702,Yareli,412
703,Meghan,411
704,Rebekah,411
705,Addilynn,410
706,Faye,410
707,Zariyah,410
708,Lea,408
709,Aliza,407
710,Julissa,407
711,Lilyana,406
712,Anika,403
713,Kairi,401
714,Aniya,400
715,Noemi,399
716,Angie,396
717,Crystal,395
718,Bridget,394
719,Ari,393
720,Davina,391
721,Amelie,390
722,Amirah,390
723,Annika,390
724,Elora,390
725,Xiomara,390
726,Linda,389
727,Hana,387
728,Laney,387
729,Mercy,385
730,Hadassah,382
731,Madalyn,382
732,Louisa,381
733,Simone,381
734,Kori,380
735,Jillian,379
736,Alena,377
737,Malaya,377
738,Miley,376
739,Milan,375
740,Sariyah,375
741,Malani,371
742,Clarissa,370
743,Nala,370
744,Princess,370
745,Amani,369
746,Analia,369
747,Estella,368
748,Milana,366
749,Aya,365
750,Chana,360
751,Jayde,360
752,Tenley,360
753,Zaria,360
754,Itzayana,359
755,Penny,359
756,Ailani,358
757,Lara,358
758,Aubriella,357
759,Clare,357
760,Lina,357
761,Rhea,357
762,Bria,356
763,Thalia,356
764,Keyla,355
765,Haisley,354
766,Ryann,354
767,Addisyn,353
768,Amaia,353
769,Chanel,353
770,Ellen,353
771,Harmoni,353
772,Aliana,352
773,Tinsley,352
774,Landry,351
775,Paisleigh,351
776,Lexie,348
777,Myah,348
778,Rylan,348
779,Deborah,347
780,Emilee,347
781,Laylah,347
782,Novalee,347
783,Ellis,346
784,Emmeline,346
785,Avalynn,344
786,Hadlee,344
787,Legacy,344
788,Braylee,343
789,Elisabeth,343
790,Kaylie,343
791,Ansley,342
792,Dior,342
793,Paula,342
794,Belen,341
795,Corinne,341
796,Maleah,341
797,Martha,341
798,Teresa,341
799,Salma,340
800,Louise,339
801,Averi,338
802,Lilianna,338
803,Amiya,337
804,Milena,337
805,Royal,337
806,Aubrielle,335
807,Calliope,335
808,Frankie,335
809,Natasha,333
810,Kamilah,332
811,Meilani,332
812,Raina,332
813,Amayah,331
814,Lailah,331
815,Rayne,331
816,Zaniyah,331
817,Isabela,330
818,Nathalie,330
819,Miah,329
820,Opal,329
821,Kenia,328
822,Azariah,327
823,Hunter,327
824,Tori,327
825,Andi,326
826,Keily,326
827,Leanna,326
828,Scarlette,326
829,Jaelyn,325
830,Saoirse,325
831,Selene,325
832,Dalary,323
833,Lindsey,323
834,Marianna,323
835,Ramona,323
836,Estelle,322
837,Giovanna,322
838,Holland,322
839,Nancy,322
840,Emmalynn,321
841,Mylah,321
842,Rosalee,321
843,Sariah,320
844,Zoie,320
845,Blaire,319
846,Lyanna,319
847,Maxine,319
848,Anais,318
849,Dana,318
850,Judith,318
851,Kiera,318
852,Jaelynn,316
853,Noor,316
854,Kai,315
855,Adalee,314
856,Oaklee,314
857,Amaris,313
858,Jaycee,313
859,Belle,312
860,Carolyn,312
861,Della,312
862,Karter,312
863,Sky,312
864,Treasure,312
865,Vienna,312
866,Jewel,311
867,Rivka,311
868,Rosalyn,311
869,Alannah,310
870,Ellianna,310
871,Sunny,310
872,Claudia,309
873,Cara,307
874,Hailee,307
875,Estrella,306
876,Harleigh,306
877,Zhavia,306
878,Alianna,305
879,Brittany,305
880,Jaylene,305
881,Journi,305
882,Marissa,304
883,Mavis,304
884,Iliana,303
885,Jurnee,303
886,Aislinn,302
887,Alyson,302
888,Elsa,302
889,Kamiyah,302
890,Kiana,302
891,Lisa,302
892,Arlette,301
893,Kadence,301
894,Kathleen,301
895,Halle,300
896,Erika,298
897,Sylvie,298
898,Adele,296
899,Erica,296
900,Veda,296
901,Whitney,296
902,Bexley,295
903,Emmaline,295
904,Guadalupe,295
905,August,294
906,Brynleigh,294
907,Gwen,294
908,Promise,294
909,Alisson,293
910,India,293
911,Madalynn,293
912,Paloma,293
913,Patricia,293
914,Samira,293
915,Aliya,291
916,Casey,291
917,Jazlynn,291
918,Paulina,291
919,Dulce,290
920,Kallie,289
921,Perla,289
922,Adrienne,288
923,Alora,288
924,Nataly,288
925,Ayleen,287
926,Christine,287
927,Kaiya,287
928,Ariadne,286
929,Karlee,286
930,Barbara,285
931,Lillianna,285
932,Raquel,285
933,Saniyah,285
934,Yamileth,285
935,Arely,283
936,Celia,283
937,Heavenly,283
938,Kaylin,283
939,Marisol,282
940,Marleigh,282
941,Avalyn,281
942,Berkley,281
943,Kataleya,279
944,Zainab,279
945,Dani,278
946,Egypt,278
947,Joyce,278
948,Kenley,278
949,Annabel,277
950,Kaelyn,277
951,Etta,276
952,Hadleigh,276
953,Joselyn,276
954,Luella,276
955,Jaylee,275
956,Zola,275
957,Alisha,274
958,Ezra,274
959,Queen,274
960,Amia,273
961,Annalee,273
962,Bellamy,273
963,Paola,273
964,Tinley,273
965,Violeta,273
966,Jenesis,272
967,Arden,271
968,Giana,271
969,Wendy,270
970,Ellison,269
971,Florence,269
